Months,"Monthly Incidents per 1,000,000 Miles Driven",Monthly Total Miles Driven,Monthly Incidents,Monthly Autonomous Miles Driven,"Total Incidents per 1,000,000 Miles Driven"
April 2016,18.84,"106,149",2,"66,767",7.55
March 2016,0,"74,973",0,"46,037",7.07
February 2016,16.39,"61,030",1,"32,505",7.29
January 2016,0,"66,096",0,"47,561",7.06
December 2015,0,"65,975",0,"51,356",7.25
November 2015,14.32,"69,797",1,"52,647",7.46
October 2015,0,"84,801",0,"57,432",7.25
September 2015,0,"85,633",0,"51,858",7.54
August 2015,10.75,"93,023",1,"57,647",7.86
July 2015,14.51,"68,930",1,"43,209",7.72
June 2015,29.96,"66,754",2,"46,624",7.47
